number,day,sms_1,sms_2,sms_3,sms_4,sms_5,sms_6
18072,1,8,9,8,8,8,8
18072,1,8,8,8,8,9,8
18072,1,8,8,6,9,9,9
18072,1,6,7,6,8,9,9
18072,3,7,7,7,8,8,8
18072,3,8,8,8,8,8,8
18072,3,7,7,7,7,7,7
18072,3,8,8,8,8,9,9
18072,2,7,7,8,9,9,9
18072,2,8,8,8,8,8,8
18072,2,7,7,8,9,9,9
18072,2,8,8,7,7,8,7
18072,5,8,8,8,8,8,8
18072,4,6,8,7,9,9,9
18072,4,8,8,8,9,8,8
18072,7,8,8,8,8,8,8
18072,4,8,8,8,8,8,9
18072,5,8,8,8,9,8,8
18072,5,6,6,7,8,8,8
18072,5,7,7,7,7,7,7
18072,7,8,8,8,8,8,8
18072,4,8,8,8,8,8,8
18072,6,8,8,8,8,8,8
18072,7,7,7,8,8,8,8
18072,6,9,9,9,9,9,9
18072,6,7,7,8,8,9,8
18072,6,7,7,8,7,8,8
18072,7,8,8,8,8,8,8
21151,1,6,6,6,7,7,7
21151,2,6,6,4,8,8,9
21151,4,7,7,6,6,7,6
21151,3,9,9,8,7,8,7
21151,2,9,9,9,8,8,7
21151,4,8,7,8,7,8,7
21151,6,8,7,7,8,8,8
21151,1,6,7,6,8,8,8
21151,1,6,6,6,7,7,7
21151,1,4,6,4,7,7,7
21151,6,6,6,6,8,8,8
21151,5,9,9,8,7,6,6
21151,5,8,8,8,7,7,7
21151,4,7,7,6,7,8,7
21151,7,6,6,6,7,7,7
21151,7,8,6,6,6,4,6
21151,6,8,9,7,7,7,6
21151,4,8,8,6,8,8,7
21151,3,9,9,9,8,8,7
21151,3,8,8,9,6,6,6
21151,2,6,6,6,8,8,7
21151,2,4,4,4,6,6,6
21151,6,7,7,6,8,8,8
21151,7,8,7,8,9,9,9
21151,5,6,7,4,6,7,6
21151,7,7,7,7,6,6,4
21151,3,8,8,6,8,8,8
21151,5,9,8,8,8,8,7
25693,7,8,9,8,7,7,8
25693,2,6,7,6,8,7,7
25693,1,8,9,7,8,8,9
25693,6,7,7,7,8,8,8
25693,4,7,6,6,7,7,7
25693,1,8,8,6,8,8,7
25693,6,8,7,7,8,8,6
25693,1,6,4,4,7,8,8
25693,3,7,6,6,8,8,9
25693,1,7,8,6,8,8,7
25693,5,6,4,6,7,7,8
25693,2,8,8,8,8,8,7
25693,5,7,7,6,7,7,6
30312,2,4,4,6,6,4,6
30312,6,7,7,7,7,7,7
30312,2,4,4,7,7,6,7
30312,5,7,7,7,7,7,7
30312,6,7,7,7,7,7,7
30312,5,7,7,7,7,7,7
30312,4,6,6,6,6,6,6
30312,1,4,4,4,6,4,6
30312,2,6,6,6,6,6,8
30312,1,4,4,4,6,6,6
30312,4,7,7,7,7,7,7
30312,4,9,9,9,9,9,9
30312,5,7,7,7,7,7,7
30312,3,7,7,7,7,7,7
30312,3,6,6,6,7,7,7
30312,5,7,7,7,7,7,7
30312,2,4,4,6,6,4,4
30312,4,7,7,7,7,7,7
30312,7,7,7,7,7,7,7
30312,7,7,7,7,7,7,7
30312,7,7,7,7,7,7,7
30312,6,7,7,7,7,7,7
30312,6,7,7,7,7,7,7
30312,1,4,4,4,7,6,7
30312,1,4,4,4,7,7,7
30312,3,6,6,6,6,6,6
30312,7,7,7,7,7,7,7
30312,3,6,6,6,6,6,6
30935,1,8,8,7,9,9,8
30935,5,7,7,7,9,9,8
30935,1,4,4,4,4,4,4
30935,5,6,4,6,7,7,7
30935,5,6,7,7,7,8,7
30935,3,7,7,7,6,6,6
30935,5,8,6,8,8,8,8
30935,2,4,4,4,7,7,7
30935,6,9,9,9,9,9,9
30935,6,8,8,8,7,7,7
30935,6,8,6,7,6,6,6
30935,7,6,6,6,6,6,6
30935,3,8,7,8,6,7,8
30935,3,7,4,7,7,7,7
30935,1,4,4,4,8,8,6
30935,1,7,4,6,8,4,6
30935,4,9,8,9,9,9,9
30935,4,8,6,8,8,8,7
30935,4,8,7,7,8,8,8
30935,2,6,6,7,9,9,7
30935,3,8,8,8,9,9,8
30935,7,9,8,7,8,8,8
30935,7,8,6,7,6,6,7
30935,4,7,7,8,8,8,8
30935,2,9,9,9,9,9,9
30935,2,8,4,8,7,6,7
30935,7,8,8,8,6,8,7
32143,6,7,6,9,7,6,8
32143,5,8,6,8,6,6,8
32143,4,8,6,8,6,6,7
32143,4,9,7,8,7,7,7
32143,4,9,6,8,7,7,8
32143,6,8,6,8,7,6,8
32143,1,9,9,9,4,4,6
32143,1,7,6,4,4,4,4
32143,1,4,4,6,7,6,7
32143,6,8,6,8,6,6,8
32143,5,9,6,9,7,8,9
32143,2,7,6,7,7,4,7
32143,2,8,6,9,6,4,4
32143,3,9,9,8,6,6,7
32143,4,8,7,8,7,7,7
32143,3,7,7,8,8,7,7
32143,5,8,6,8,9,7,9
32143,2,6,4,7,6,4,8
32143,6,8,6,8,7,6,8
32143,2,8,4,7,4,4,6
32143,7,8,6,8,6,6,7
32143,7,8,7,8,7,7,8
32143,7,9,8,9,7,7,8
32143,7,9,7,9,7,6,8
32143,3,8,7,9,7,6,7
32143,1,7,4,6,6,4,6
32143,5,9,7,8,8,9,9
32143,3,9,8,8,6,6,7
36611,4,8,8,6,6,7,7
36611,4,8,8,7,7,8,8
36611,6,8,8,7,7,9,8
36611,4,8,8,7,7,7,7
36611,6,8,8,7,7,7,7
36611,6,8,8,7,7,7,7
36611,6,8,8,7,7,8,7
36611,7,8,8,7,7,7,7
36611,2,8,8,7,7,7,8
36611,5,8,8,7,7,8,8
36611,5,8,8,6,6,7,7
36611,3,7,8,6,6,7,8
36611,4,8,8,7,7,8,8
36611,7,8,8,7,7,8,8
36611,7,8,8,7,7,8,8
36611,7,8,8,7,7,7,7
36611,2,8,8,6,6,7,7
36611,5,8,8,7,7,7,7
36611,1,7,6,4,4,7,6
36611,1,8,8,7,6,7,7
36611,5,8,8,7,7,7,8
36611,3,8,8,8,8,7,8
36611,1,6,7,4,6,7,7
36611,2,8,8,6,7,8,8
36611,2,7,7,6,6,7,7
36611,3,8,8,6,6,8,8
36611,3,8,8,6,6,8,7
37564,6,4,4,8,9,8,8
37564,4,8,9,8,9,9,7
37564,4,4,8,6,8,9,7
37564,5,8,8,8,7,8,8
37564,4,9,7,8,9,7,7
37564,5,9,8,7,4,8,7
37564,4,9,8,9,9,7,7
37564,7,8,9,4,8,9,6
37564,2,9,8,8,9,9,6
37564,6,9,9,4,9,8,7
37564,1,7,8,7,8,4,4
37564,1,6,4,4,6,4,4
37564,1,9,9,6,6,4,4
37564,5,8,9,7,9,9,9
37564,5,8,8,8,9,9,7
37564,3,9,9,7,7,7,8
37564,7,8,8,7,7,8,8
37564,6,8,6,4,4,8,7
37564,2,4,4,4,9,8,6
37564,6,4,8,4,4,4,8
37564,7,9,9,9,6,4,4
37564,3,9,8,9,7,6,6
37564,3,6,6,4,9,8,9
37564,3,4,6,7,8,8,7
37564,2,4,4,4,9,8,9
37564,2,8,7,4,4,6,4
37564,7,9,9,6,8,4,4
39862,5,8,8,8,8,8,8
39862,2,7,7,7,6,6,6
39862,5,8,8,8,8,8,8
39862,4,8,8,8,8,8,8
39862,2,9,9,8,7,6,7
39862,5,8,8,8,8,8,8
39862,3,8,8,7,7,8,7
39862,3,8,8,8,7,7,7
39862,7,8,8,8,8,8,8
39862,1,4,4,7,6,6,6
39862,1,6,8,6,6,6,8
39862,2,7,7,7,8,7,7
39862,1,8,8,6,7,8,7
39862,2,8,8,8,8,8,8
39862,3,8,8,8,8,8,8
39862,1,8,9,7,4,4,4
39862,4,8,8,8,8,8,8
39862,7,8,8,8,8,8,8
39862,4,8,8,8,8,8,8
39862,5,8,9,8,8,8,8
39862,3,9,9,9,8,8,8
40967,4,7,8,6,9,9,9
40967,1,7,8,7,4,4,4
40967,7,9,9,9,6,6,6
40967,2,9,4,8,9,9,9
40967,4,7,7,8,9,9,9
40967,7,6,4,6,8,8,8
40967,4,8,8,9,6,6,7
40967,7,6,4,4,8,8,9
40967,1,8,8,8,6,6,7
40967,4,6,6,6,9,9,8
40967,5,8,8,8,9,9,9
40967,2,7,6,6,8,8,9
40967,5,8,6,8,9,9,9
40967,6,4,6,6,9,9,9
40967,2,7,8,8,9,9,9
40967,5,8,7,7,9,9,9
40967,3,9,8,8,9,9,9
40967,3,8,9,8,9,9,9
40967,3,9,9,9,6,6,6
40967,2,4,4,4,7,7,8
40967,5,9,9,9,6,6,7
40967,1,6,7,6,9,9,9
40967,3,8,8,8,7,7,8
40967,1,4,4,6,9,4,9
57746,4,6,4,7,4,4,4
57746,7,6,6,6,4,4,4
57746,5,4,4,4,4,4,4
57746,4,7,6,7,7,6,6
57746,4,6,6,6,6,6,6
57746,2,8,8,6,6,7,4
57746,2,4,4,4,4,4,4
57746,2,6,6,6,6,4,6
57746,4,7,7,7,4,4,4
57746,7,6,6,4,4,4,4
57746,3,6,4,6,4,4,4
57746,3,6,7,6,4,4,4
57746,3,6,6,4,6,7,6
57746,6,9,9,8,6,6,6
57746,7,7,7,7,8,7,6
57746,6,7,6,8,8,7,6
57746,1,7,6,4,4,7,4
57746,5,6,6,4,4,4,4
57746,6,9,9,9,6,6,6
57746,5,6,4,6,4,4,4
57746,3,6,7,6,6,4,4
57746,1,6,6,4,4,6,4
57746,5,8,7,7,6,4,4
57746,2,6,6,4,4,4,4
57746,1,7,6,6,4,4,4
57746,1,4,4,4,4,4,6
5847,7,8,8,7,6,6,6
5847,7,7,7,6,7,7,6
5847,6,7,7,7,7,7,7
5847,5,6,6,6,6,6,6
5847,5,6,6,6,6,7,6
5847,7,6,6,6,6,6,6
5847,6,6,6,6,6,7,6
5847,1,7,6,7,6,6,6
5847,1,6,4,7,8,8,8
5847,1,7,6,7,7,8,8
5847,4,6,6,6,6,7,6
5847,3,8,7,8,8,8,8
5847,3,7,7,7,7,7,6
5847,3,7,6,7,7,8,7
5847,4,8,7,7,6,6,6
5847,2,8,6,7,6,6,6
5847,2,7,6,7,6,6,6
5847,2,7,6,6,8,7,7
5847,2,7,6,6,7,7,7
5847,1,6,6,6,7,7,7
5847,6,6,6,6,6,6,6
5847,5,7,7,6,7,7,7
5847,4,6,6,6,7,7,7
5847,3,8,6,7,7,8,6
5847,7,7,7,6,6,6,6
5847,5,6,6,6,6,6,6
5847,4,7,6,7,6,6,6
5847,6,6,6,6,7,7,6
59863,2,9,9,9,9,9,9
59863,2,9,9,9,9,9,9
59863,1,8,8,8,8,8,8
59863,2,9,9,9,9,9,9
59863,2,9,9,9,9,9,9
59863,7,8,7,8,9,8,8
59863,4,8,6,8,9,9,9
59863,6,6,4,8,9,8,6
59863,4,9,6,7,8,9,8
59863,4,8,8,8,9,9,9
59863,1,9,6,8,9,9,9
59863,5,8,4,8,9,7,8
59863,6,8,4,9,8,8,8
59863,1,8,8,8,9,9,8
59863,5,8,4,8,8,8,9
59863,3,9,9,9,9,9,9
59863,5,8,4,8,9,9,9
59863,5,8,6,8,8,9,7
59863,7,8,7,8,8,8,8
59863,3,8,6,7,9,9,7
59863,3,8,6,8,8,8,7
59863,7,8,9,8,9,9,6
59863,1,7,6,7,8,7,6
59863,3,8,8,8,8,8,8
59863,6,8,6,9,9,9,9
59863,7,8,8,8,8,8,8
63579,3,7,8,9,8,8,8
63579,4,7,8,8,8,7,8
63579,3,8,8,8,8,6,9
63579,2,6,9,9,8,8,9
63579,2,6,6,8,8,6,8
63579,5,9,9,9,8,7,9
63579,2,8,8,8,8,8,9
63579,4,9,9,9,9,8,9
63579,1,9,9,9,9,6,8
63579,2,8,8,8,7,6,8
63579,3,6,4,8,8,6,8
63579,1,6,6,9,8,4,8
63579,6,9,9,9,9,9,9
63579,4,7,8,8,8,7,9
63579,4,6,9,8,8,8,9
63579,3,7,8,8,8,6,8
63579,5,9,9,9,8,6,8
63579,1,9,9,8,8,8,8
69204,5,7,7,7,8,8,8
69204,2,8,9,8,7,7,7
69204,4,8,8,8,8,8,8
69204,1,6,6,4,6,7,7
69204,5,6,8,7,8,8,8
69204,5,8,8,8,8,8,8
69204,1,7,7,6,8,8,8
69204,3,6,8,4,7,7,7
69204,4,7,7,7,7,7,7
69204,5,6,6,6,6,8,8
69204,3,7,7,8,8,6,6
69204,4,8,8,8,8,8,8
69204,1,9,8,8,9,9,9
69204,1,7,8,7,8,7,7
69204,1,8,8,7,8,8,8
69204,7,7,7,7,8,8,8
69204,7,6,6,6,6,6,7
69204,7,7,7,7,8,8,8
69204,7,6,6,6,6,8,8
69204,6,7,7,7,8,8,8
69204,2,7,7,7,8,8,8
69204,3,7,8,8,7,8,8
69204,3,7,8,8,8,7,8
69204,2,7,7,7,8,7,8
69204,6,8,7,7,8,8,8
69204,6,8,8,8,8,7,7
69204,2,7,8,6,8,8,8
69204,4,8,8,7,8,8,8
69204,6,8,8,8,8,8,8
69933,5,9,9,9,9,9,9
69933,5,9,9,9,9,9,9
